01,01,01,01,10,10,10,10,10,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01
01,01,11,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01
10,10,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01,01
10,10,01,01,01,01,01,01,01,04,04,04,04,04,04,04,04,04,04,04,01,01,01,01,01
01,01,01,01,01,01,01,01,08,00,00,00,00,00,00,00,00,00,00,00,02,01,01,01,01
01,01,01,01,01,01,01,01,08,00,00,00,00,00,00,00,00,00,00,00,02,01,01,01,01
10,01,10,10,10,01,01,01,08,00,00,00,00,00,00,00,00,00,00,00,02,11,11,11,11
10,01,10,01,01,01,01,01,08,00,00,00,00,00,00,00,00,00,00,00,02,10,10,10,10
01,01,01,01,01,01,01,01,08,00,00,00,00,00,00,00,00,00,00,00,02,01,01,01,01
01,01,01,01,01,01,01,01,08,00,00,00,00,00,00,00,00,00,00,00,02,01,01,01,01
01,01,01,01,11,11,01,01,01,07,07,07,09,00,00,06,07,07,07,07,01,01,01,01,01
01,01,01,01,10,10,01,01,01,01,01,01,08,00,00,02,01,01,01,01,01,01,01,01,01
01,01,01,01,10,10,01,01,01,01,01,01,08,00,00,02,01,01,01,01,01,01,01,01,01
01,01,01,01,10,10,01,01,01,10,10,01,08,00,00,02,01,01,01,11,01,11,01,01,01
01,01,01,01,10,10,01,01,01,10,10,01,08,00,00,02,11,11,11,10,01,10,11,11,11
01,01,01,01,01,01,01,01,01,01,01,01,08,00,00,02,10,10,01,01,01,01,01,01,10
10,01,01,01,01,01,01,01,01,01,01,01,08,00,00,02,10,10,01,01,01,01,01,01,10
10,01,01,01,01,01,01,01,01,01,01,01,08,00,00,02,10,10,01,01,01,01,01,01,10
10,11,11,11,11,11,11,11,11,11,01,01,08,00,00,02,10,10,01,01,01,01,01,01,10
10,10,10,10,10,10,10,10,10,10,01,01,08,00,00,02,10,10,10,10,10,10,10,10,10

0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0
0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,1,1,1,1,0,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1
